track_name,track_artist,track_popularity,playlist_genre
I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,66,pop
Memories - Dillon Francis Remix,Maroon 5,67,pop
All the Time - Don Diablo Remix,Zara Larsson,70,pop
Call You Mine - Keanu Silva Remix,The Chainsmokers,60,pop
Someone You Loved - Future Humans Remix,Lewis Capaldi,69,pop
Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,67,pop
Never Really Over - R3HAB Remix,Katy Perry,62,pop
Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,69,pop
Tough Love - Tiësto Remix / Radio Edit,Avicii,68,pop
If I Can't Have You - Gryffin Remix,Shawn Mendes,67,pop
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,58,pop
Hate Me - R3HAB Remix,Ellie Goulding,67,pop
Body On My,Loud Luxury,67,pop
SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,68,pop
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,63,pop
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,66,pop
All My Friends - Eden Prince Remix,AJ Mitchell,60,pop
Life Is Good (feat. Drake),Future,93,rap
The Box,Roddy Ricch,98,rap
I Can See,Mac Miller,73,rap
Futsal Shuffle 2020,Lil Uzi Vert,91,rap
Sum 2 Prove,Lil Baby,81,rap
Money Talk,Rich The Kid,64,rap
BOP,DaBaby,93,rap
First Place,Polo G,60,rap
No Regrets (feat. Don Toliver),Eminem,71,rap
Suicidal,YNW Melly,90,rap
OUT WEST (feat. Young Thug),JACKBOYS,87,rap
TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,86,rap
Dead Man Walking (feat. Future),2 Chainz,63,rap
Woah,Lil Baby,88,rap
How I Move (feat. Lil Baby),Flipp Dinero,80,rap
Peta (feat. Meek Mill),Roddy Ricch,84,rap
Death (feat. DaBaby),Trippie Redd,82,rap
Shadow Of Your Love,Guns N' Roses,58,rock
It's So Easy,Guns N' Roses,60,rock
Nightrain,Guns N' Roses,61,rock
Out Ta Get Me,Guns N' Roses,7,rock
Mr. Brownstone,Guns N' Roses,59,rock
Knockin' On Heaven's Door,Guns N' Roses,13,rock
Don't Cry (Original),Guns N' Roses,15,rock
My Michelle,Guns N' Roses,57,rock
Think About You,Guns N' Roses,5,rock
You're Crazy,Guns N' Roses,4,rock
Anything Goes,Guns N' Roses,4,rock
Rocket Queen,Guns N' Roses,4,rock
Live And Let Die,Guns N' Roses,9,rock
You Could Be Mine,Guns N' Roses,6,rock
Patience,Guns N' Roses,67,rock
Used To Love Her,Guns N' Roses,48,rock
Double Talkin' Jive,Guns N' Roses,53,rock
"Disease - KATFYR ""Tokyo Bound"" Remix",Naeleck,43,edm
Infinite Ammo,Le Castle Vania,46,edm
WOW,Tiësto,10,edm
Threnody - Bombs Away Remix,Naeleck,50,edm
Loudness War,Fukkk Offf,33,edm
Deja Vu,Wolfgang Gartner,36,edm
Game Time (feat. Ninja),3LAU,51,edm
Rave,SOVTH,25,edm
Outlaw,Bassjackers,38,edm
Bang,RICCI,59,edm
My Shit Bang,Awnix & Toobaï,30,edm
Get Away (feat. Rama Duke),Breathe Carolina,53,edm
Virtual Gaming,Naeleck,37,edm
2020 - Radio Edit,Chris Burke,30,edm
I Want to Know,Divite,42,edm
Flowers - RudeLies Remix,Jacob Tillberg,52,edm
What to Do,GLDN,53,edm
Silverskin,Sam Feldt,8,latin
Handful Of Gold - Hounded Remix,CAZZETTE,50,latin
Messiah,Klingande,44,latin
Never Alone,Felix Jaehn,67,latin
Better Off Alone,Y.V.E. 48,56,latin
All or Nothing - Sultan + Shepard Remix,Lost Frequencies,28,latin
Are You Mine,Alex Schulz,54,latin
Electric Feel (Kygo Remix),Henry Green,57,latin
Déjà Vu,Sam Feldt,7,latin
We Start Fires,Little Giants,47,latin
What I'd Give,LVNDSCAPE,57,latin
Whatever You Like - Radio Edit,Dasco,50,latin
Save Tonight,Sam Feldt,7,latin
Ha Leh Lou Ya,Robin Schulz,54,latin
Illuminate,AINT,47,latin
I'll Be Back,Sam Feldt,11,latin
Richer Than Ever,Fivio Foreign,40,r&b
No Denying,J Hus,70,r&b
Juicy (feat. Tyga),Doja Cat,75,r&b
Purpose (feat. G Herbo),Calboy,60,r&b
NIGHTTIME (Interlude),Russ,75,r&b
Red Eye,7715,40,r&b
Like A Pro,Blac Youngsta,57,r&b
Princ3,Not3s,61,r&b
Last Name (feat. Lil Durk),Future,70,r&b
Whisper,Blac Youngsta,61,r&b
Cyber Sex,Doja Cat,74,r&b
Netflix & Chill,Fredo,75,r&b
W (feat. Gunna),Koffee,74,r&b
DROPPED OUTTA COLLEGE,24kGoldn,64,r&b
Forever,NLE Choppa,71,r&b
Fangirl,Lil Peep,67,r&b
